VENUE,CAPACITY,MANUAL_ENTRY
Dvorana Krešimir Ćosić,8500,False
J.U. Sportska dvorana Laktaši,3050,False
Košarkaška dvorana Aleksandar Nikolić,8000,False
Košarkaški centar Dražen Petrović,5400,False
Sportski centar Morača,6000,False
Arena Stožice,12480,False
Arena KK FMP,3000,False
Mala dvorana KK Split,3500,False
Dvorana Borac,3000,False
Hala sportova Ranko Žeravica,5000,False
SRC Topolica,2500,False
Sportski centar Jane Sandanski,6500,True
Beogradska Štark Arena,19394,False
Mala dvorana Tivoli,7000,False
ŠD Leona Štuklja Novo Mesto,2500,True
Mega Factory Hall,500,True
Košarkaška dvorana Jazine,3500,False
Arena Bonifika,3000,False
Dom sportova,3100,False
Sports Hall Pinki,2000,True
Sportska dvorana Verde,2100,True
Dvorana Smederevo,2800,True
Boris Trajkovski Sports Center,7500,True
Dvorana Golovec,3200,True
Dvorana Valjevo,2500,True
Nikšić Sports Center,3000,True
Tiszaligeti Sportcsarnok,2200,True
Universiada Hall,4000,True
Pecara,4500,True
Jezero,3600,True
Trnsko,2000,True
Komunalni center,2200,True
Tri lilije,2500,True
Millenium centar,4400,True
Menora Mivtachim Arena,10700,True
Sportovni Hala,1200,True
Dvorana Mirza Delibašić,6500,True
SPC Vojvodina,8000,True
Kodeljevo,3000,True
Baldekin,2000,True
Dvorana Borik,4000,True
Lovćen Sports Centre,1500,True
Dvorana Mladosti,4000,True
Mejdan,5000,True
Sutinska vrela,2000,True
