VENUE,CAPACITY,MANUAL_ENTRY
Dvorana Krešimir Ćosić,8500,False
J.U. Sportska dvorana Laktaši,3050,False
Košarkaška dvorana Aleksandar Nikolić,8000,False
Košarkaški centar Dražen Petrović,5400,False
Sportski centar Morača,6000,False
Arena Stožice,12480,False
Arena KK FMP,1700,False
Mala dvorana KK Split,6000,False
Dvorana Borac,3000,False
Hala sportova Ranko Žeravica,5000,False
SRC Topolica,2500,False
Sportski centar Jane Sandanski,6,False
Beogradska Štark Arena,19394,False
Mala dvorana Tivoli,7000,False
ŠD Leona Štuklja Novo Mesto,0,True
Mega Factory Hall,0,True
Košarkaška dvorana Jazine,3500,False
Arena Bonifika,3000,False
Dom sportova,3100,False
Sports Hall Pinki,5000,False
Sportska dvorana Verde,5200,False
