VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
Arena Bonifika,Koper Primorska,45.5436664,13.7274513,"Koper, Slovenia",False
Arena KK FMP,Crvena zvezda mts,44.73102403240696,20.376638823680153,"Stjepana Stupanca 15а, Beograd, Srbija",True
Arena KK FMP,FMP Meridian,44.73102403240696,20.376638823680153,"Stjepana Stupanca 15а, Beograd, Srbija",True
Arena Stožice,Cedevita Olimpija,46.0813903,14.5214679,"Ljubljana, Slovenia",False
Arena Stožice,Petrol Olimpija,46.0813903,14.5214679,"Ljubljana, Slovenia",False
Baldekin,Šibenka Dalmare,43.73026122049988,15.900460712614137,"Ul. Stjepana Radića 44, 22000, Šibenik, Hrvaška",True
Beogradska Štark Arena,Partizan Mozzart Bet,44.81414609999999,20.4212894,"Novi Beograd, Beograd, Grad Beograd, Serbia",False
Boris Trajkovski Sports Center,Karpoš Sokoli,42.009527,21.4040192,"Karposhi, Shkupi, Komuna e Karposhit, Qyteti i Shkupit, North Macedonia",False
Boris Trajkovski Sports Center,MZT Skopje Aerodrom,42.009527,21.4040192,"Karposhi, Shkupi, Komuna e Karposhit, Qyteti i Shkupit, North Macedonia",False
Dom sportova,Cedevita,45.808124,15.9524627,"Zagreb, Grad Zagreb, Croatia",False
Dom sportova,Cibona,45.808124,15.9524627,"Zagreb, Grad Zagreb, Croatia",False
Dvorana Borac,Borac Mozzart,43.89744715570858,20.35254202933937,"Bate Jankovica 112, Čačak 32000, Srbija",True
Dvorana Borik,Banjalučka pivara,44.7738418,17.2025363,"Banja Luka, Republika Srpska, Bosnia and Herzegovina",False
Dvorana Golovec,Tajfun,46.2396929,15.2719543,"Celje, Slovenia",False
Dvorana Krešimir Ćosić,Zadar,44.1190692,15.2450264,"Zadar, Općina Zadar, Zadarska županija, Croatia",False
Dvorana Mirza Delibašić,Bosna Royal,43.8545524,18.4140301,"Sarajevo, Sarajevo Canton, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina",False
Dvorana Mladosti,Triglav osiguranje,45.3308488,14.460118,"Rijeka, Općina Rijeka, Primorsko-goranska županija, Croatia",False
Dvorana Smederevo,Mega MIS,44.660556,20.9309104,"Smederevo, Podunavski okrug, Serbia",False
Dvorana Valjevo,Metalac Farmakom,44.2741532,19.8836559,"Valjevo, Kolubara District, Serbia",False
Hala sportova Ranko Žeravica,Mega MIS,44.8276589,20.4064171,"Novi Beograd, Beograd, Grad Beograd, Serbia",False
Hala sportova Ranko Žeravica,Partizan Mozzart Bet,44.8276589,20.4064171,"Novi Beograd, Beograd, Grad Beograd, Serbia",False
J.U. Sportska dvorana Laktaši,Igokea m:tel,44.9076535,17.3083533,"Laktaši, Republika Srpska, Bosnia and Herzegovina",False
Jezero,Radnički,44.0133441369134,20.923710086685094,"Grada Sirena 15, Kragujevac 34000, Srbija",True
Kodeljevo,Geoplin Slovan,46.0493379,14.529323,"Ljubljana, Slovenia",False
Komunalni center,Helios Suns,46.13972410752013,14.59521100648424,"Mestni trg 1, 1230 Domžale",True
Košarkaška dvorana Aleksandar Nikolić,Crvena zvezda mts,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False
Košarkaška dvorana Aleksandar Nikolić,Partizan Mozzart Bet,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False
Košarkaška dvorana Jazine,Zadar,44.1107674,15.2328616,"Zadar, Općina Zadar, Zadarska županija, Croatia",False
Košarkaški centar Dražen Petrović,Cedevita,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False
Košarkaški centar Dražen Petrović,Cibona,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False
Košarkaški centar Dražen Petrović,Zagreb CO,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False
Lovćen Sports Centre,Lovćen 1947,42.3994444,18.8188889,"Cetinje Municipality, Montenegro",False
Mala dvorana KK Split,Split,43.508836901837796,16.45245267861313,"21000, Split, Hrvaška",True
Mala dvorana Tivoli,Cedevita Olimpija,46.0597998,14.4949445,"Ljubljana, Slovenia",False
Mala dvorana Tivoli,Petrol Olimpija,46.0597998,14.4949445,"Ljubljana, Slovenia",False
Mega Factory Hall,Mega MIS,44.766324388136944,20.49299951881597,"Braće Jerković 119a, Beograd 11010, Srbija",True
Mejdan,Sloboda Dita,44.53728500948411,18.665330765739803,"Bosne Srebrene, Tuzla 75000, Bosna in Hercegovina",True
Menora Mivtachim Arena,Maccabi Electra,32.0612909,34.79138030000001,"Tel Aviv-Yafo, Tel Aviv District, Israel",False
Millenium centar,Vršac,45.1183624,21.311286,"Vršac, Južnobanatski okrug, Vojvodina, Serbia",False
Nikšić Sports Center,Sutjeska,42.7804735,18.9561661,"Niksic, Nikšić Municipality, Montenegro",False
Pecara,Široki,43.3826412,17.5922415,"Široki Brijeg, Županija Zapadnohercegovačka, Federacija Bosne i Hercegovine, Bosnia and Herzegovina",False
SPC Vojvodina,Vojvodina Srbijagas,45.2469559,19.8453064,"Novi Sad, Južnobački okrug, Vojvodina, Serbia",False
SRC Topolica,Mornar-Barsko zlato,42.1036076,19.0906471,"Bar, Bar Municipality, Montenegro",False
Sportovni Hala,CEZ Nymburk,50.1068966,14.4328299,"Bubeneč, Praha 7, Hlavní město Praha, Hlavní město Praha, Czechia",False
Sports Hall Pinki,Mega MIS,44.8406581,20.4110896,"Zemun, Beograd, Grad Beograd, Serbia",False
Sportska dvorana Verde,Budućnost VOLI,42.41770770590237,19.20160844915174,"Donja Gorica bb, Podgorica 81000, Črna gora",True
Sportski centar Jane Sandanski,MZT Skopje Aerodrom,41.993254,21.464572,"North Macedonia, Aerodrom, Skopje, Aerodrom, Greater Skopje",False
Sportski centar Morača,Budućnost VOLI,42.4380903,19.2540137,"Podgorica, Glavni grad Podgorica, Montenegro",False
Sportski centar Morača,SC Derby,42.4380903,19.2540137,"Podgorica, Glavni grad Podgorica, Montenegro",False
Sutinska vrela,Cedevita,45.8178834,15.8330748,"Zagreb, Grad Zagreb, Croatia",False
Tiszaligeti Sportcsarnok,Szolnoki Olaj,47.1692329,20.1974655,"Szolnok, Hungary",False
Tri lilije,Zlatorog Laško,46.16474300000001,15.2304815,"Laško, Slovenia",False
Trnsko,Zagreb CO,45.7731064,15.9647123,"Trnsko, Zagreb, City of Zagreb, Croatia",False
Universiada Hall,Levski Sofija,42.6807456,23.3558025,"g.k. Yavorov, Sofia, Sofia City Province, Bulgaria",False
ŠD Leona Štuklja Novo Mesto,Krka,45.7949926,15.1593383,"Novo mesto, Slovenia",False
