Season,Part,Round,Date,Time,Venue,Attendance,Referee1,Referee2,Referee3,H_Team,A_Team,H_Team_ID,A_Team_ID,H_Score,A_Score,H_Q1,H_Q2,H_Q3,H_Q4,H_OT_1,H_OT_2,H_OT_3,H_OT_4,A_Q1,A_Q2,A_Q3,A_Q4,A_OT_1,A_OT_2,A_OT_3,A_OT_4,H_2FG_M,H_2FG_A,H_3FG_M,H_3FG_A,H_FT_M,H_FT_A,H_REB_O,H_REB_D,H_REB_T,H_ASS,H_ST,H_TO,H_BLC_FV,H_BLC_AG,H_FLS_CM,H_FLS_RV,H_PIR,A_2FG_A,A_2FG_M,A_3FG_A,A_3FG_M,A_FT_A,A_FT_M,A_REB_O,A_REB_D,A_REB_T,A_ASS,A_ST,A_TO,A_BLC_FV,A_BLC_AG,A_FLS_CM,A_FLS_RV,A_PIR
2002/2003,,1,2002/09/28,19:00,Polideportivo Pisuerga,3800.0,José Antonio Martín Bertrán,Alfredo Ortega,Carlos Sánchez Monserrat,Fórum Vall.,CB Granada,71,1,89,71,15.0,22.0,26.0,26.0,,,,,23.0,20.0,16.0,12.0,,,,,25,44,9,22,12,14,28,9,37,13,6,14,4,4,23,19,93,16,35,8,25,15,18,23,6,29,9.0,7.0,17.0,4.0,4.0,19.0,23.0,64.0
2002/2003,,1,2002/09/28,19:00,Centro Insular Deportes,2800.0,Felipe Llamazares,José Javier Murgui,Juan José Martínez Díez,Auna G. Canaria,Ricoh Manresa,5,10,82,57,15.0,17.0,31.0,19.0,,,,,15.0,15.0,17.0,10.0,,,,,22,47,8,21,14,28,29,16,45,14,11,13,2,4,22,23,86,17,41,4,18,11,20,23,11,34,9.0,9.0,22.0,4.0,2.0,23.0,22.0,41.0
2002/2003,,1,2002/09/28,19:15,Pazo Provincial dos Deportes de Lugo,5000.0,Francisco De la Maza,Juan Luis Redondo,José María Terreros,Leche Río Bre.,Unicaja,25,14,78,79,21.0,19.0,17.0,21.0,,,,,18.0,16.0,12.0,33.0,,,,,22,45,5,12,19,28,20,13,33,9,10,17,5,2,22,27,82,21,49,8,20,13,19,19,16,35,11.0,7.0,17.0,2.0,5.0,27.0,22.0,61.0
2002/2003,,1,2002/09/28,19:30,Palau Municipal D´Esports de Badalona,6015.0,Mateo Ramos,Juan Antonio Requena,Emilio Pérez Pizarro,DKV Joventut,TAU Cerámica,8,3,73,74,17.0,22.0,12.0,22.0,,,,,19.0,16.0,17.0,22.0,,,,,21,39,6,19,13,14,27,7,34,12,5,17,8,2,22,21,80,20,45,7,21,13,19,20,11,31,12.0,15.0,7.0,2.0,8.0,21.0,22.0,75.0
2002/2003,,1,2002/09/29,12:30,Centro de Tecnificacion de Alicante,4925.0,Pilar Landeira,Antonio Gallo,Juan Carlos Arteaga,Lucentum,Adecco Estu,21,6,60,67,15.0,14.0,23.0,8.0,,,,,16.0,17.0,23.0,11.0,,,,,15,33,6,23,12,17,31,7,38,13,11,16,3,2,28,18,57,15,39,6,23,19,29,30,16,46,11.0,14.0,14.0,2.0,3.0,18.0,28.0,82.0
2002/2003,,1,2002/09/29,12:30,Pab. Raimundo Saporta,4400.0,Juan Carlos Mitjana,Miguel Ángel Pérez Pérez,Jesús Alberto Prieto,Real Madrid,Cáceres CB,9,26,91,58,25.0,23.0,25.0,18.0,,,,,18.0,15.0,13.0,12.0,,,,,23,35,10,22,15,18,32,11,43,16,6,20,6,0,17,17,115,21,49,2,13,10,15,15,8,23,6.0,14.0,15.0,0.0,6.0,17.0,17.0,36.0
2002/2003,,1,2002/09/29,12:30,Barris Nord,5000.0,Daniel Hierrezuelo,Lluís Guirao,Carlos Peruga,Caprabo Lleida,Casademont Gir.,47,32,80,75,15.0,24.0,20.0,21.0,,,,,14.0,19.0,17.0,25.0,,,,,22,44,2,14,30,41,27,16,43,8,8,14,3,4,22,33,90,19,43,8,18,13,17,21,6,27,6.0,9.0,13.0,4.0,3.0,33.0,22.0,56.0
2002/2003,,1,2002/09/29,18:00,Pabellón Fuente de San Luis,7500.0,Xavier Amorós,Santi Fernández,Raúl Sánchez,Pamesa Valencia,C. San Fernando,13,15,81,69,24.0,20.0,22.0,15.0,,,,,20.0,19.0,16.0,14.0,,,,,34,48,2,13,7,14,22,4,26,19,10,11,2,4,24,21,88,19,36,4,15,19,25,21,9,30,7.0,7.0,19.0,4.0,2.0,21.0,24.0,65.0
2002/2003,,1,2002/09/29,19:00,Palau Blaugrana,7600.0,José Ramón García Ortiz,Óscar Perea,Juan Carlos García González,FC Barcelona,Jabones Pardo,2,17,93,47,22.0,24.0,20.0,27.0,,,,,13.0,7.0,17.0,10.0,,,,,30,56,5,11,18,30,28,10,38,12,9,6,2,1,23,27,107,17,38,1,15,10,18,20,9,29,6.0,4.0,23.0,1.0,2.0,27.0,23.0,15.0
2002/2003,,2,2002/10/05,18:30,Pab. Multiusos Ciudad de Cáceres,3107.0,Mateo Ramos,Pilar Landeira,José María Rosado,Cáceres CB,Caprabo Lleida,26,47,77,85,15.0,25.0,18.0,19.0,,,,,27.0,13.0,28.0,17.0,,,,,22,37,9,29,6,10,20,9,29,13,6,13,3,1,30,17,62,30,49,1,10,22,30,27,11,38,13.0,8.0,12.0,1.0,3.0,17.0,30.0,107.0
