Season,Part,Round,Date,Time,Venue,Attendance,Referee1,Referee2,Referee3,H_Team,A_Team,H_Team_ID,A_Team_ID,H_Score,A_Score,H_Q1,H_Q2,H_Q3,H_Q4,H_OT_1,H_OT_2,H_OT_3,H_OT_4,A_Q1,A_Q2,A_Q3,A_Q4,A_OT_1,A_OT_2,A_OT_3,A_OT_4,H_2FG_M,H_2FG_A,H_3FG_M,H_3FG_A,H_FT_M,H_FT_A,H_REB_O,H_REB_D,H_REB_T,H_ASS,H_ST,H_TO,H_BLC_FV,H_BLC_AG,H_FLS_CM,H_FLS_RV,H_PIR,A_2FG_A,A_2FG_M,A_3FG_A,A_3FG_M,A_FT_A,A_FT_M,A_REB_O,A_REB_D,A_REB_T,A_ASS,A_ST,A_TO,A_BLC_FV,A_BLC_AG,A_FLS_CM,A_FLS_RV,A_PIR
2021/22,REGULAR SEASON,Round 1,2021/10/19,19:00,ANKARA SPOR SALONU,2756,CORTES CARLOS,SUKYS ARTURAS,VALEEV STANISLAV,Turk Telekom Ankara,Boulogne Metropolitans 92,TTK,PAI,73,65,24,12,16,21,,,,,22,20,11,12,,,,,22,39,9,23,2,6,11,24,35,19,5,16,4,3,19,11,74,18,39,5,18,14,16,9,21,30,18,10,13,3,4,11,19,81
2021/22,REGULAR SEASON,Round 1,2021/10/19,19:30,EDEL-OPTICS.DE ARENA,1663,PEREZ MIGUEL ANGEL,BISSANG JOSEPH,ISGUDER SINAN,Hamburg Towers,Partizan NIS Belgrade,HAM,PAR,97,106,24,16,26,31,,,,,28,33,27,18,,,,,25,39,11,35,14,19,12,13,25,24,11,9,0,4,25,20,96,20,26,14,30,24,25,9,29,38,24,4,22,4,0,20,25,136
2021/22,REGULAR SEASON,Round 1,2021/10/19,20:00,BLM GROUP ARENA,925,JAVOR DAMIR,UDYANSKYY EDUARD,BOUBERT MAXIME,Dolomiti Energia Trento,Joventut Badalona,TRN,JOV,56,86,14,14,9,19,,,,,17,23,22,24,,,,,17,52,5,20,7,15,14,27,41,10,5,14,1,3,23,17,32,25,43,6,22,18,23,10,42,52,20,7,11,3,1,17,22,122
2021/22,REGULAR SEASON,Round 1,2021/10/20,18:30,BASKET HALL,313,VILIUS GYTIS,DRAGOJEVIC IGOR,CELIK HUSEYIN,Lokomotiv Kuban Krasnodar,MoraBanc Andorra,TIV,ANR,93,82,25,26,21,21,,,,,17,17,15,33,,,,,25,40,7,20,22,23,6,29,35,14,8,13,2,2,21,24,111,22,41,6,22,20,25,8,22,30,19,5,12,2,2,24,21,81
2021/22,REGULAR SEASON,Round 1,2021/10/20,20:15,HALA ORBITA,2138,SHEMMESH SEFFI,BARTH BENJAMIN,HADZIC DENIS,Slask Wroclaw,Lietkabelis Panevezys,WRO,LKB,59,70,14,18,17,10,,,,,19,17,14,20,,,,,20,34,4,18,7,17,7,24,31,12,6,18,2,1,19,20,54,18,35,9,33,7,12,17,23,40,15,10,16,1,2,20,19,71
2021/22,REGULAR SEASON,Round 1,2021/10/19,20:30,LA FONTETA,4612,ROCHA FERNANDO,KOLJENSIC MILOS ,GIOVANNETTI GUIDO,Valencia Basket,Promitheas Patras,PAM,PAT,92,82,28,19,22,23,,,,,24,19,20,19,,,,,23,42,11,28,13,17,14,24,38,21,2,9,2,2,15,21,110,27,41,6,22,10,13,8,24,32,20,4,11,2,2,21,15,88
2021/22,REGULAR SEASON,Round 1,2021/10/19,21:00,GRAN CANARIA ARENA,1872,LAMONICA LUIGI,TSAROUCHA VASILIKI,BITTNER STEVE,Gran Canaria,Cedevita Olimpija Ljubljana,CAN,LJU,77,79,30,18,17,12,,,,,20,27,16,16,,,,,17,42,9,33,16,22,21,23,44,15,13,14,5,1,21,22,85,15,35,12,24,13,21,13,28,41,16,6,23,1,5,23,21,73
2021/22,REGULAR SEASON,Round 1,2021/10/20,19:00,TOFAS SPOR SALONU,2006,OBRKNEZEVIC UROS ,ALIAGA JORDI,CICI GENTIAN,Frutti Extra Bursaspor,Virtus Segafredo Bologna,BBU,VIR,83,101,21,27,18,17,,,,,31,26,24,20,,,,,23,36,9,27,10,15,7,18,25,22,6,12,1,0,22,18,85,26,40,9,14,22,27,4,25,29,25,7,12,0,1,19,22,128
2021/22,REGULAR SEASON,Round 1,2021/10/20,19:30,RATIOPHARM ARENA	,2501,DIFALLAH MEHDI,VAN DEN BROECK NICK,LAVRUKHIN ARTEM,ratiopharm Ulm,Buducnost VOLI Podgorica,ULM,BUD,79,86,21,20,17,21,,,,,26,22,21,17,,,,,19,32,10,27,11,14,6,19,25,18,6,12,0,1,22,19,79,24,46,7,16,17,23,15,23,38,17,6,12,1,0,19,22,102
2021/22,REGULAR SEASON,Round 1,2021/10/20,20:00,EKINOX,1889,KOROMILAS ELIAS,KARDUM LUKA,PEER ADAR,Mincidelice JL Bourg en Bresse,Umana Reyer Venice,BOU,VNC,62,73,14,12,18,18,,,,,18,16,21,18,,,,,18,43,6,21,8,12,15,27,42,15,4,16,1,2,16,21,67,14,33,11,26,12,15,7,23,30,22,7,10,2,1,21,16,81
2021/22,REGULAR SEASON,Round 2,2021/10/26,18:00,CIDO ARENA,930,BISSANG JOSEPH,FOUFIS IOANNIS,HALLIKO AARE,Lietkabelis Panevezys,Lokomotiv Kuban Krasnodar,LKB,TIV,84,85,24,21,19,20,,,,,23,19,26,17,,,,,23,45,6,24,20,27,16,24,40,17,6,14,2,6,23,25,84,23,41,8,18,15,20,5,24,29,18,6,14,6,2,25,23,93
2021/22,REGULAR SEASON,Round 2,2021/10/26,21:00,PALAU OLIMPIC DE BADALONA,2074,PASTUSIAK PIOTR,NIKOLIC UROS,PEER ADAR,Joventut Badalona,Hamburg Towers,JOV,HAM,73,56,17,17,18,21,,,,,21,9,15,11,,,,,22,40,6,20,11,15,13,27,40,22,9,15,6,1,17,20,101,14,35,8,25,4,4,10,21,31,15,7,18,1,6,20,17,45
2021/22,REGULAR SEASON,Round 2,2021/10/27,20:00,POLIESPORTIU D'ANDORRA,1237,LEZCANO LEANDRO,SILVA SERGIO,VAN DEN BROECK NICK,MoraBanc Andorra,Dolomiti Energia Trento,ANR,TRN,85,73,21,25,16,23,,,,,10,20,24,19,,,,,22,43,8,22,17,21,13,28,41,19,10,17,4,3,24,20,96,20,38,6,23,15,27,7,22,29,9,5,13,3,4,20,24,59
2021/22,REGULAR SEASON,Round 2,2021/10/27,20:30,MARCEL CERDAN,1973,PEREZ MIGUEL ANGEL,UDYANSKYY EDUARD,CELIK HUSEYIN,Boulogne Metropolitans 92,Slask Wroclaw,PAI,WRO,86,83,28,21,18,19,,,,,24,23,22,14,,,,,26,42,8,24,10,14,9,25,34,18,8,14,4,1,14,18,103,23,40,10,26,7,12,8,25,33,18,9,13,1,4,18,14,85
2021/22,REGULAR SEASON,Round 2,2021/10/27,20:30,ALEKSANDAR NIKOLIC HALL,5162,HIERREZUELO DANIEL,KOWALSKI MARCIN,BOUBERT MAXIME,Partizan NIS Belgrade,Turk Telekom Ankara,PAR,TTK,85,59,21,20,23,21,,,,,12,22,7,18,,,,,17,31,10,28,21,26,14,25,39,17,5,11,3,3,20,28,106,14,29,7,23,10,16,10,21,31,15,4,20,3,3,28,20,44
2021/22,REGULAR SEASON,Round 2,2021/10/26,18:30,DIMITRIS TOFALOS ARENA,671,RYZHYK BORYS,DRAGOJEVIC IGOR,HADZIC DENIS,Promitheas Patras,Gran Canaria,PAT,CAN,81,85,25,19,22,15,,,,,25,24,17,19,,,,,11,24,16,30,11,15,8,20,28,19,6,15,5,2,19,21,93,20,37,13,29,6,7,12,22,34,19,8,12,2,5,21,19,95
2021/22,REGULAR SEASON,Round 2,2021/10/26,20:00,PALASPORT TALIERCIO,1389,VILIUS GYTIS,JURAS MARKO,BITTNER STEVE,Umana Reyer Venice,Frutti Extra Bursaspor,VNC,BBU,62,70,22,23,12,5,,,,,21,13,12,24,,,,,20,30,4,24,10,20,10,28,38,17,7,21,3,0,25,22,63,17,39,8,21,12,18,9,23,32,12,10,15,0,3,22,25,68
2021/22,REGULAR SEASON,Round 2,2021/10/27,19:00,MORACA,1288,SHEMMESH SEFFI,CLIVAZ SEBASTIEN,TSAROUCHA VASILIKI,Buducnost VOLI Podgorica,Valencia Basket,BUD,PAM,71,70,18,14,20,19,,,,,17,21,21,11,,,,,22,47,5,19,12,15,14,20,34,14,10,8,2,3,21,20,77,12,28,10,29,16,17,14,26,40,15,4,17,3,2,20,21,78
2021/22,REGULAR SEASON,Round 2,2021/10/27,20:00,ARENA STOZICE,1800,BALAK AMIT,SUKYS ARTURAS,ISGUDER SINAN,Cedevita Olimpija Ljubljana,Mincidelice JL Bourg en Bresse,LJU,BOU,91,79,26,22,24,19,,,,,25,24,16,14,,,,,19,25,14,26,11,20,3,23,26,23,6,15,1,1,18,24,110,18,35,11,26,10,12,10,20,30,19,9,13,1,1,24,18,84
