,Season,Stage,Round,Href
0,2007/2008,1. del,1,http://www.kzs.si/incl?id=114&game_id=328693&league_id=undefined&season_id=11173
1,2007/2008,1. del,1,http://www.kzs.si/incl?id=114&game_id=328703&league_id=undefined&season_id=11173
2,2007/2008,1. del,1,http://www.kzs.si/incl?id=114&game_id=328713&league_id=undefined&season_id=11173
3,2007/2008,1. del,1,http://www.kzs.si/incl?id=114&game_id=328723&league_id=undefined&season_id=11173
4,2007/2008,1. del,1,http://www.kzs.si/incl?id=114&game_id=328733&league_id=undefined&season_id=11173
5,2007/2008,1. del,1,http://www.kzs.si/incl?id=114&game_id=328743&league_id=undefined&season_id=11173
6,2007/2008,1. del,10,http://www.kzs.si/incl?id=114&game_id=330353&league_id=undefined&season_id=11173
7,2007/2008,1. del,10,http://www.kzs.si/incl?id=114&game_id=330363&league_id=undefined&season_id=11173
8,2007/2008,1. del,10,http://www.kzs.si/incl?id=114&game_id=330413&league_id=undefined&season_id=11173
9,2007/2008,1. del,10,http://www.kzs.si/incl?id=114&game_id=330423&league_id=undefined&season_id=11173
10,2007/2008,1. del,10,http://www.kzs.si/incl?id=114&game_id=330433&league_id=undefined&season_id=11173
11,2007/2008,1. del,10,http://www.kzs.si/incl?id=114&game_id=330443&league_id=undefined&season_id=11173
12,2007/2008,1. del,11,http://www.kzs.si/incl?id=114&game_id=330583&league_id=undefined&season_id=11173
13,2007/2008,1. del,11,http://www.kzs.si/incl?id=114&game_id=330593&league_id=undefined&season_id=11173
14,2007/2008,1. del,11,http://www.kzs.si/incl?id=114&game_id=330603&league_id=undefined&season_id=11173
15,2007/2008,1. del,11,http://www.kzs.si/incl?id=114&game_id=330613&league_id=undefined&season_id=11173
16,2007/2008,1. del,11,http://www.kzs.si/incl?id=114&game_id=330623&league_id=undefined&season_id=11173
17,2007/2008,1. del,11,http://www.kzs.si/incl?id=114&game_id=330633&league_id=undefined&season_id=11173
18,2007/2008,1. del,12,http://www.kzs.si/incl?id=114&game_id=330703&league_id=undefined&season_id=11173
19,2007/2008,1. del,12,http://www.kzs.si/incl?id=114&game_id=330713&league_id=undefined&season_id=11173
20,2007/2008,1. del,12,http://www.kzs.si/incl?id=114&game_id=330723&league_id=undefined&season_id=11173
21,2007/2008,1. del,12,http://www.kzs.si/incl?id=114&game_id=330733&league_id=undefined&season_id=11173
22,2007/2008,1. del,12,http://www.kzs.si/incl?id=114&game_id=330743&league_id=undefined&season_id=11173
23,2007/2008,1. del,12,http://www.kzs.si/incl?id=114&game_id=332053&league_id=undefined&season_id=11173
24,2007/2008,1. del,13,http://www.kzs.si/incl?id=114&game_id=330753&league_id=undefined&season_id=11173
25,2007/2008,1. del,13,http://www.kzs.si/incl?id=114&game_id=330763&league_id=undefined&season_id=11173
26,2007/2008,1. del,13,http://www.kzs.si/incl?id=114&game_id=330773&league_id=undefined&season_id=11173
27,2007/2008,1. del,13,http://www.kzs.si/incl?id=114&game_id=330783&league_id=undefined&season_id=11173
28,2007/2008,1. del,13,http://www.kzs.si/incl?id=114&game_id=330793&league_id=undefined&season_id=11173
29,2007/2008,1. del,13,http://www.kzs.si/incl?id=114&game_id=330803&league_id=undefined&season_id=11173
30,2007/2008,1. del,14,http://www.kzs.si/incl?id=114&game_id=331023&league_id=undefined&season_id=11173
31,2007/2008,1. del,14,http://www.kzs.si/incl?id=114&game_id=331053&league_id=undefined&season_id=11173
32,2007/2008,1. del,14,http://www.kzs.si/incl?id=114&game_id=331063&league_id=undefined&season_id=11173
33,2007/2008,1. del,14,http://www.kzs.si/incl?id=114&game_id=331073&league_id=undefined&season_id=11173
34,2007/2008,1. del,14,http://www.kzs.si/incl?id=114&game_id=331083&league_id=undefined&season_id=11173
35,2007/2008,1. del,14,http://www.kzs.si/incl?id=114&game_id=331893&league_id=undefined&season_id=11173
36,2007/2008,1. del,15,http://www.kzs.si/incl?id=114&game_id=331173&league_id=undefined&season_id=11173
37,2007/2008,1. del,15,http://www.kzs.si/incl?id=114&game_id=331183&league_id=undefined&season_id=11173
38,2007/2008,1. del,15,http://www.kzs.si/incl?id=114&game_id=331193&league_id=undefined&season_id=11173
39,2007/2008,1. del,15,http://www.kzs.si/incl?id=114&game_id=331203&league_id=undefined&season_id=11173
40,2007/2008,1. del,15,http://www.kzs.si/incl?id=114&game_id=331213&league_id=undefined&season_id=11173
41,2007/2008,1. del,15,http://www.kzs.si/incl?id=114&game_id=331333&league_id=undefined&season_id=11173
42,2007/2008,1. del,16,http://www.kzs.si/incl?id=114&game_id=331353&league_id=undefined&season_id=11173
43,2007/2008,1. del,16,http://www.kzs.si/incl?id=114&game_id=331363&league_id=undefined&season_id=11173
44,2007/2008,1. del,16,http://www.kzs.si/incl?id=114&game_id=331373&league_id=undefined&season_id=11173
45,2007/2008,1. del,16,http://www.kzs.si/incl?id=114&game_id=331383&league_id=undefined&season_id=11173
46,2007/2008,1. del,16,http://www.kzs.si/incl?id=114&game_id=331393&league_id=undefined&season_id=11173
47,2007/2008,1. del,16,http://www.kzs.si/incl?id=114&game_id=331403&league_id=undefined&season_id=11173
48,2007/2008,1. del,17,http://www.kzs.si/incl?id=114&game_id=331523&league_id=undefined&season_id=11173
49,2007/2008,1. del,17,http://www.kzs.si/incl?id=114&game_id=331533&league_id=undefined&season_id=11173
50,2007/2008,1. del,17,http://www.kzs.si/incl?id=114&game_id=331563&league_id=undefined&season_id=11173
51,2007/2008,1. del,17,http://www.kzs.si/incl?id=114&game_id=331573&league_id=undefined&season_id=11173
52,2007/2008,1. del,17,http://www.kzs.si/incl?id=114&game_id=331583&league_id=undefined&season_id=11173
53,2007/2008,1. del,17,http://www.kzs.si/incl?id=114&game_id=331593&league_id=undefined&season_id=11173
54,2007/2008,1. del,18,http://www.kzs.si/incl?id=114&game_id=331713&league_id=undefined&season_id=11173
55,2007/2008,1. del,18,http://www.kzs.si/incl?id=114&game_id=331723&league_id=undefined&season_id=11173
56,2007/2008,1. del,18,http://www.kzs.si/incl?id=114&game_id=331743&league_id=undefined&season_id=11173
57,2007/2008,1. del,18,http://www.kzs.si/incl?id=114&game_id=331753&league_id=undefined&season_id=11173
58,2007/2008,1. del,18,http://www.kzs.si/incl?id=114&game_id=331763&league_id=undefined&season_id=11173
59,2007/2008,1. del,18,http://www.kzs.si/incl?id=114&game_id=331773&league_id=undefined&season_id=11173
60,2007/2008,1. del,19,http://www.kzs.si/incl?id=114&game_id=332023&league_id=undefined&season_id=11173
61,2007/2008,1. del,19,http://www.kzs.si/incl?id=114&game_id=332033&league_id=undefined&season_id=11173
62,2007/2008,1. del,19,http://www.kzs.si/incl?id=114&game_id=332063&league_id=undefined&season_id=11173
63,2007/2008,1. del,19,http://www.kzs.si/incl?id=114&game_id=332073&league_id=undefined&season_id=11173
64,2007/2008,1. del,19,http://www.kzs.si/incl?id=114&game_id=332083&league_id=undefined&season_id=11173
65,2007/2008,1. del,19,http://www.kzs.si/incl?id=114&game_id=332093&league_id=undefined&season_id=11173
66,2007/2008,1. del,2,http://www.kzs.si/incl?id=114&game_id=328823&league_id=undefined&season_id=11173
67,2007/2008,1. del,2,http://www.kzs.si/incl?id=114&game_id=328833&league_id=undefined&season_id=11173
68,2007/2008,1. del,2,http://www.kzs.si/incl?id=114&game_id=328843&league_id=undefined&season_id=11173
69,2007/2008,1. del,2,http://www.kzs.si/incl?id=114&game_id=328853&league_id=undefined&season_id=11173
70,2007/2008,1. del,2,http://www.kzs.si/incl?id=114&game_id=328933&league_id=undefined&season_id=11173
71,2007/2008,1. del,2,http://www.kzs.si/incl?id=114&game_id=329293&league_id=undefined&season_id=11173
72,2007/2008,1. del,20,http://www.kzs.si/incl?id=114&game_id=332203&league_id=undefined&season_id=11173
73,2007/2008,1. del,20,http://www.kzs.si/incl?id=114&game_id=332213&league_id=undefined&season_id=11173
74,2007/2008,1. del,20,http://www.kzs.si/incl?id=114&game_id=332223&league_id=undefined&season_id=11173
75,2007/2008,1. del,20,http://www.kzs.si/incl?id=114&game_id=332233&league_id=undefined&season_id=11173
76,2007/2008,1. del,20,http://www.kzs.si/incl?id=114&game_id=332243&league_id=undefined&season_id=11173
77,2007/2008,1. del,20,http://www.kzs.si/incl?id=114&game_id=332253&league_id=undefined&season_id=11173
78,2007/2008,1. del,21,http://www.kzs.si/incl?id=114&game_id=332363&league_id=undefined&season_id=11173
79,2007/2008,1. del,21,http://www.kzs.si/incl?id=114&game_id=332373&league_id=undefined&season_id=11173
80,2007/2008,1. del,21,http://www.kzs.si/incl?id=114&game_id=332383&league_id=undefined&season_id=11173
81,2007/2008,1. del,21,http://www.kzs.si/incl?id=114&game_id=332413&league_id=undefined&season_id=11173
82,2007/2008,1. del,21,http://www.kzs.si/incl?id=114&game_id=332423&league_id=undefined&season_id=11173
83,2007/2008,1. del,21,http://www.kzs.si/incl?id=114&game_id=332433&league_id=undefined&season_id=11173
84,2007/2008,1. del,22,http://www.kzs.si/incl?id=114&game_id=332543&league_id=undefined&season_id=11173
85,2007/2008,1. del,22,http://www.kzs.si/incl?id=114&game_id=332553&league_id=undefined&season_id=11173
86,2007/2008,1. del,22,http://www.kzs.si/incl?id=114&game_id=332563&league_id=undefined&season_id=11173
87,2007/2008,1. del,22,http://www.kzs.si/incl?id=114&game_id=332593&league_id=undefined&season_id=11173
88,2007/2008,1. del,22,http://www.kzs.si/incl?id=114&game_id=332603&league_id=undefined&season_id=11173
89,2007/2008,1. del,22,http://www.kzs.si/incl?id=114&game_id=332613&league_id=undefined&season_id=11173
90,2007/2008,1. del,3,http://www.kzs.si/incl?id=114&game_id=328943&league_id=undefined&season_id=11173
91,2007/2008,1. del,3,http://www.kzs.si/incl?id=114&game_id=328953&league_id=undefined&season_id=11173
92,2007/2008,1. del,3,http://www.kzs.si/incl?id=114&game_id=328963&league_id=undefined&season_id=11173
93,2007/2008,1. del,3,http://www.kzs.si/incl?id=114&game_id=328973&league_id=undefined&season_id=11173
94,2007/2008,1. del,3,http://www.kzs.si/incl?id=114&game_id=328983&league_id=undefined&season_id=11173
95,2007/2008,1. del,3,http://www.kzs.si/incl?id=114&game_id=328993&league_id=undefined&season_id=11173
96,2007/2008,1. del,4,http://www.kzs.si/incl?id=114&game_id=329113&league_id=undefined&season_id=11173
97,2007/2008,1. del,4,http://www.kzs.si/incl?id=114&game_id=329123&league_id=undefined&season_id=11173
98,2007/2008,1. del,4,http://www.kzs.si/incl?id=114&game_id=329183&league_id=undefined&season_id=11173
99,2007/2008,1. del,4,http://www.kzs.si/incl?id=114&game_id=329193&league_id=undefined&season_id=11173
100,2007/2008,1. del,4,http://www.kzs.si/incl?id=114&game_id=329203&league_id=undefined&season_id=11173
101,2007/2008,1. del,4,http://www.kzs.si/incl?id=114&game_id=329213&league_id=undefined&season_id=11173
102,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329303&league_id=undefined&season_id=11173
103,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329333&league_id=undefined&season_id=11173
104,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329343&league_id=undefined&season_id=11173
105,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329463&league_id=undefined&season_id=11173
106,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329473&league_id=undefined&season_id=11173
107,2007/2008,1. del,5,http://www.kzs.si/incl?id=114&game_id=329483&league_id=undefined&season_id=11173
108,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329493&league_id=undefined&season_id=11173
109,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329503&league_id=undefined&season_id=11173
110,2007/2008,1. del,6,http://www.kzs.si/incl?id=114&game_id=329523&league_id=undefined&season_id=11173
