,season,part,href
0,2021/2022,Regular Season,https://vtb-league.com/en/game/4611225#stat
1,2021/2022,Regular Season,https://vtb-league.com/en/game/4611219#stat
2,2021/2022,Regular Season,https://vtb-league.com/en/game/4611223#stat
3,2021/2022,Regular Season,https://vtb-league.com/en/game/4611227#stat
4,2021/2022,Regular Season,https://vtb-league.com/en/game/4611337#stat
5,2021/2022,Regular Season,https://vtb-league.com/en/game/4611221#stat
6,2021/2022,Regular Season,https://vtb-league.com/en/game/4611213#stat
7,2021/2022,Regular Season,https://vtb-league.com/en/game/4611217#stat
8,2021/2022,Regular Season,https://vtb-league.com/en/game/4611215#stat
9,2021/2022,Regular Season,https://vtb-league.com/en/game/4611187#stat
10,2021/2022,Regular Season,https://vtb-league.com/en/game/4611159#stat
11,2021/2022,Regular Season,https://vtb-league.com/en/game/4611207#stat
12,2021/2022,Regular Season,https://vtb-league.com/en/game/4611201#stat
13,2021/2022,Regular Season,https://vtb-league.com/en/game/4611199#stat
14,2021/2022,Regular Season,https://vtb-league.com/en/game/4611197#stat
15,2021/2022,Regular Season,https://vtb-league.com/en/game/4611189#stat
16,2021/2022,Regular Season,https://vtb-league.com/en/game/4611193#stat
17,2021/2022,Regular Season,https://vtb-league.com/en/game/4611185#stat
18,2021/2022,Regular Season,https://vtb-league.com/en/game/4611181#stat
19,2021/2022,Regular Season,https://vtb-league.com/en/game/4611175#stat
20,2021/2022,Regular Season,https://vtb-league.com/en/game/4611169#stat
21,2021/2022,Regular Season,https://vtb-league.com/en/game/4611167#stat
22,2021/2022,Regular Season,https://vtb-league.com/en/game/4611163#stat
23,2021/2022,Regular Season,https://vtb-league.com/en/game/4611165#stat
24,2021/2022,Regular Season,https://vtb-league.com/en/game/4611095#stat
25,2021/2022,Regular Season,https://vtb-league.com/en/game/4611105#stat
26,2021/2022,Regular Season,https://vtb-league.com/en/game/4611161#stat
27,2021/2022,Regular Season,https://vtb-league.com/en/game/4611157#stat
28,2021/2022,Regular Season,https://vtb-league.com/en/game/4611155#stat
29,2021/2022,Regular Season,https://vtb-league.com/en/game/4611153#stat
30,2021/2022,Regular Season,https://vtb-league.com/en/game/4611149#stat
31,2021/2022,Regular Season,https://vtb-league.com/en/game/4611147#stat
32,2021/2022,Regular Season,https://vtb-league.com/en/game/4611145#stat
33,2021/2022,Regular Season,https://vtb-league.com/en/game/4611143#stat
34,2021/2022,Regular Season,https://vtb-league.com/en/game/4611151#stat
35,2021/2022,Regular Season,https://vtb-league.com/en/game/4611209#stat
36,2021/2022,Regular Season,https://vtb-league.com/en/game/4611139#stat
37,2021/2022,Regular Season,https://vtb-league.com/en/game/4611137#stat
38,2021/2022,Regular Season,https://vtb-league.com/en/game/4611237#stat
39,2021/2022,Regular Season,https://vtb-league.com/en/game/4611135#stat
40,2021/2022,Regular Season,https://vtb-league.com/en/game/4611133#stat
41,2021/2022,Regular Season,https://vtb-league.com/en/game/4611121#stat
