VENUE,CAPACITY,MANUAL_ENTRY
BASKETBALL HALL JAZINE,3500,False
BASKETBALL CENTER OF MOSCOW REGGION,5000,True
CENTAR MILLENIUM,4400,False
LOTTO ARENA,5218,False
PALAVERDE,5344,False
PALAIS DES SPORTS DE PAU,7700,True
KOSARKASKA DVORANA FMP - ZELEZNIK,3000,True
BALLSPORTHALLE,5002,False
PALAIS DES SPORTS JEAN WEILLE,6000,True
UNIVERSIADA HALL,4000,True
HALA PIONIR,8000,False
KFAR BLUM,2000,True
ARENA RIGA,11200,False
MAX SCHMELING HALLE,12000,True
GEW ENERGY DOME,3200,True
VOLKSBANK-ARENA GMUNDEN,2200,True
KYIV SPORTS PALLACE,10000,False
LE COLISEE,5000,False
VENTSPILS NAFTA HALL,3085,False
GUILFORD SPECTRUM,1500,True
MARTINI PLAZA,4500,False
SAKU ARENA,7200,False
PABELLON MUNICIPAL DE DEPORTES DE BADALONA,12760,False
ARTLAND ARENA,3000,True
TIPSPORT ARENA,13150,False
DARUSSAFAKA AYHAN SAHENK,3500,False
SALLE SAINTE-CROIX,1500,True
HALA MISTRZOW,4200,True
MAASPORT SPORTS & EVENTS,2700,True
ARENA DOLCE VITA,2850,True
PAVELLÓ GIRONA-FONTAJAU,5500,False
RHENUS SPORT,6200,False
BJK COLATURKA ARENA,3200,False
OLYMPIC COMPLEX-HELLINIKON,15000,False
"""TRIUMPH"" SPORTS PALACE",4000,True
CEZ ARENA,10004,False
SLEUYTER ARENA,5000,True
SPORTS COMPLEX KRYLATSKOE,6000,False
MIRZA DELIBASIC,5616,True
DE MAASPOORT DEN BOSCH,2700,True
AZOVMASH ARENA,3000,True
ASTROBALLE,5556,False
SIAULIAI ARENA,5700,True
SC MORACIA,6000,True
GOLDBERG ARENA,2000,True
PANELLINIOS G.S.,1800,True
ATATURK SPOR SALONU,4500,True
OLIMPIA SPORTS ARENA,3500,True
BASKET-HALL,7500,False
PALADOZZA,5570,False
PORSCHE ARENA,6181,True
AYHAN SAHENK SPORTS HALL,3500,False
SPIROU DOME,6300,False
PALAVELA,9200,False
HALA ORBITA,3000,False
PABELLON FUENTE DE SAN LUIS,9000,False
OLIVIA SPORT HALL,5500,True
