VENUE,CAPACITY,MANUAL_ENTRY
BASKETBALL HALL JAZINE,3500,False
BASKETBALL CENTER OF MOSCOW REGGION,0,False
CENTAR MILLENIUM,4400,False
LOTTO ARENA,5218,False
PALAVERDE,5344,False
PALAIS DES SPORTS DE PAU,0,False
KOSARKASKA DVORANA FMP - ZELEZNIK,1700,False
BALLSPORTHALLE,5002,False
PALAIS DES SPORTS JEAN WEILLE,0,False
UNIVERSIADA HALL,0,True
HALA PIONIR,8000,False
KFAR BLUM,0,False
ARENA RIGA,11200,False
MAX SCHMELING HALLE,0,False
GEW ENERGY DOME,0,False
VOLKSBANK-ARENA GMUNDEN,0,True
KYIV SPORTS PALLACE,10000,False
LE COLISEE,5000,False
VENTSPILS NAFTA HALL,3085,False
GUILFORD SPECTRUM,0,False
MARTINI PLAZA,4500,False
SAKU ARENA,7200,False
PABELLON MUNICIPAL DE DEPORTES DE BADALONA,12760,False
ARTLAND ARENA,0,False
TIPSPORT ARENA,13150,False
DARUSSAFAKA AYHAN SAHENK,3500,False
SALLE SAINTE-CROIX,0,False
HALA MISTRZOW,0,False
MAASPORT SPORTS & EVENTS,0,False
ARENA DOLCE VITA,0,True
PAVELLÓ GIRONA-FONTAJAU,5500,False
RHENUS SPORT,6200,False
BJK COLATURKA ARENA,3200,False
OLYMPIC COMPLEX-HELLINIKON,15000,False
"""TRIUMPH"" SPORTS PALACE",0,False
CEZ ARENA,10004,False
SLEUYTER ARENA,0,True
SPORTS COMPLEX KRYLATSKOE,6000,False
MIRZA DELIBASIC,0,False
DE MAASPOORT DEN BOSCH,0,False
AZOVMASH ARENA,0,False
ASTROBALLE,5556,False
SIAULIAI ARENA,0,False
SC MORACIA,1020,False
GOLDBERG ARENA,4638,False
PANELLINIOS G.S.,0,False
ATATURK SPOR SALONU,0,False
OLIMPIA SPORTS ARENA,0,False
BASKET-HALL,7500,False
PALADOZZA,5570,False
PORSCHE ARENA,0,False
AYHAN SAHENK SPORTS HALL,3500,False
SPIROU DOME,6300,False
PALAVELA,9200,False
HALA ORBITA,3000,False
PABELLON FUENTE DE SAN LUIS,9000,False
OLIVIA SPORT HALL,0,False
LAND ROVER ARENA,5570,False
Azovmash Arena,0,False
CENTRO INSULAR DE DEPORTES,5200,False
PAVILHAO DA OVARENSE,2456,False
ATATURK SPO SALONU,0,False
"NATIONAL ATHLETIC CENTER ""MAKIS LIOUGAS""",0,False
ANTWERPEN SPORTPALEIS,18575,False
OLYMPIC HALL ZETRA,12000,False
PHILLIPSHAVE,7500,False
SIEMENS ARENA,10000,False
JAKO ARENA BAMBERG,6150,False
O.A.K.A.,19443,False
"POLIDEPORTIVO MUNICIPAL ""LA CASILLA""",5440,False
"SPORT CENTAR VISNJIC ""KRESIMIR COSIC""",8500,False
PALASPORT OLIMPICO,0,False
METRO WEST RAANANA,1850,False
BASKETBALL CENTER OF MOSCOW REGION,0,False
SPORTS COMPLEX AZOVMASH,0,False
HALE ANDRE VACHERESSE,0,False
DOCKS OCÉANE,0,False
PALAIS DES SPORTS,12000,False
BIELLA FORUM,5707,False
LA MEILLERAIE,0,False
AHMET CÖMERT SPORTS HALL,3500,False
Bizkaia Arena/BEC,26000,False
TELEKOM DOME,0,False
"INDOOR HALL PERISTERIOU ""ANDREAS PAPANDREOU""",4000,False
O2 WORLD,20000,False
PALASCAPRIANO,0,False
FERNANDO BUESA ARENA,15716,False
"YUBILEYNI ""SPORT"" PALACE",7044,False
VENTSPILS OLYMPIC CENTER,0,False
ABDI IPEKÇI SPORTS HALL,12270,False
PALAU OLÍMPIC DE BADALONA,12760,False
ANTARES,6023,False
ANDREAS PAPANDREOU STADIUM,4000,False
ANDREAS PAPANDREU,4000,False
PABELLÓN MUNICIPAL DE DEPORTES DE SAN PABLO,0,False
"UNIVERSAL SPORT HALL ""OLYMP""",0,False
BANVIT KARA ALI ACAR SPOR SALONU,3000,False
LAMIA ARENA,5500,False
DS METEOR,24381,False
LOKHALLE GOETTINGEN,0,True
PALACIO VISTALEGRE,14000,False
NGC CANTU,3910,False
EWE ARENA,6069,False
N/D,3100,False
PALAMAGGIO,6387,False
SD SUTINSKA VRELA,3,False
KOSARKASKI CENTAR DRAZEN PETROVIC,5400,False
PAOK SPORT ARENA,0,False
JP CENTAR MORACA,6000,False
MADRID ARENA,0,False
MALCHA SPORTS HALL,2000,False
GAN NER ARENA,2057,False
BASKETBALL CENTER  DRAZEN PETROVIC,5400,False
VOLKSWAGEN HALLE,6600,False
MONS ARENA,3700,False
SPORTS HALL DRUZHBA,4130,False
"SPORTHALL ""LEON STUKELJ""",0,False
SPORTICA,0,False
FRAPORT ARENA,5002,False
KAUNAS SPORTS HALL,0,False
AUDI-DOME,0,False
DOM SPORTOVA ZAGREB,3100,False
CENTRUM REKREACYJNO-SPORTOWE,0,False
MERIDIAN SPORT KOMPLEX,3145,False
ARENA ARMEEC SOFIA,0,False
MONS.ARENA,3700,False
RUDI-SEDLMAYER-HALLE,0,False
BASKETBALL KAZAN,7482,False
RATIOPHARM ARENA,0,False
PALAC SPORT,10000,False
RTL SPIROUDOME,6300,False
BILBAO ARENA,10014,False
"PALAIS DES SPORTS, ORLEANS",0,False
S.OLIVER ARENA,0,True
ERGO ARENA,15000,False
PALASERRADIMINGNI,1500,False
ARENA SAMOKOV,0,True
BASKET-HALL KAZAN,7482,False
ZENITH,7000,False
LAKTASI,3050,False
ANKARA ARENA,10400,False
SVYTURIO ARENA,6200,False
ABDI IPEKCI ARENA,12270,False
OLYMP,0,False
PALATIZIANO,3500,False
BORIS TRAJKOVSKI,10000,False
VESZPREM ARENA,5096,False
PALAWHIRLPOOL,5300,False
DRAZEN PETROVIC,5400,False
BANVIT KARA ALI ACAR SPORT HALL,3000,False
ARENA STOZICE,12480,False
BESIKTAS INTEGRAL ARENA,3200,False
RTL SPIROU DOME,6300,False
ENERGIA AREENA,3500,False
SPARTAK ARENA,45360,False
ZALGIRIS ARENA,0,True
TRADE UNION SPORT PALACE,5500,False
SAKU SUURHALL ARENA,7200,False
CENTER STOZICE,12480,False
BROSE ARENA,6150,False
UNIVERSIADA,4000,False
BASKET HALL KAZAN,7482,False
ROMEMA ARENA,5000,False
KARSIYAKA ARENA,5200,False
PAOK SPORTS ARENA,0,False
HELLINIKO OLYMPIC ARENA,15000,False
PALAIS DES SPORTS MARCEL CERDAN,4000,False
PABELLON PRINCIPE FELIPE,10744,False
PIONIR,8000,False
HALLE CARPENTIER,5009,False
MAPOORO ARENA,0,False
DOM SPORTOVA,3100,False
PALASERRADIMIGNI,0,False
PALAZZETTO DELLO SPORT,3500,False
PALAESTRA,8725,False
JEZERO,5320,False
OLIMPIA,15000,False
MORACA,6000,False
ROMENA SPORT ARENA,5000,False
"CULTURAL AND ENTERTAINMENT COMPLEX ""NAGORNY""",5500,False
DRUZHBA MULTIPURPOSE ARENA,0,False
SC BORIS TRAJKOVSKI,10000,False
ANKARA SPORT HALL,10400,False
SPORTOVNI HALA SC NYMBURK,1000,False
KIEV PALACE OF SPORTS,10000,False
GROSSE EWE ARENA,6069,False
KOMBANK ARENA,19394,False
"PALASPORT ""LINO OLDRINI""",5300,False
PALACIO MUNICIPAL DE DEPORTES (HUESCA),0,True
SPORT HALL LAKTASI,3050,False
CENTRUM REKREACYJNO SPORTOWE,0,False
CEZ ARENA PARDUBICE,10300,False
FSC OLYMP,3760,False
HELSINKI ICE HALL,8200,False
ARENA ARMEEC,0,False
SPORTOVNI CENTRUM NYMBURK,1000,False
PABELLÓN MUNICIPAL DE DEPORTES SAN PABLO,0,False
PALAIS DES SPORTS JEAN MICHEL GEOFFROY,0,False
BASKET HALL,7500,False
SIBUR ARENA,7120,False
LIETUVOS RYTAS ARENA,0,True
PAIS ARENA JERUSALEM,11000,False
VOLGOGRAD TRADE UNION SPORTS PALACE,3700,False
TIPSPORT ARENA PRAGUE,13150,False
GRAN CANARIA ARENA,11500,False
TISZALIGETI SPORTS HALL,2200,False
BEAUBLANC,6500,False
AUDI DOME,0,False
OLYMPIC CENTER VENTSPILS,0,False
KLEINE EWE ARENA,6069,False
FOENIX ARENA,8500,False
PGE TUROW ARENA,0,True
PALAPENTASSUGLIA,3534,False
MEDIOLANUM FORUM,12700,False
MERCEDES-BENZ ARENA,14500,False
PALAIS DES SPORTS MAURICE THOREZ,3000,False
SINAN ERDEM DOME,16000,False
MHP ARENA,0,False
PALASPORT TALIERCIO,3509,False
SALA POLIVALENTA,5200,False
KRISTALL ARENA,6100,False
TISZALIGETI,2200,False
PALATRENTO,3569,False
PALABIGI,4545,False
BESIKTAS ARENA,42590,False
MENORA MIVTACHIM ARENA,10728,False
HAYRI GUR ARENA,7500,False
CEC NAGORNY,5500,False
USH CSKA,13000,False
KRYLATSKOYE SPORTS PALACE,5000,False
OLYMPIC SPORTS CENTER ATHENS,69618,False
RASTA DOME,0,False
MHPARENA,0,False
PALATALIERCIO,3509,False
FUENTE DE SAN LUIS,9000,False
JANE SANDANSKI,6,False
YUBILEYNI ARENA,7044,False
MARTIN CARPENA,11300,False
CIDO ARENA,5950,False
FERNANDO MARTIN,5700,False
PALACIO DE LOS DEPORTES DE MURCIA,7454,False
LA CASILLA,5440,False
TIVOLI ARENA,7000,False
FOK MESHERSKIY,0,False
PALAIS DES SPORTS DE BEAUBLANC,6500,False
VOLKSWAGEN ARENA ,0,True
TOFAS SPOR SALONU,7500,False
ALEKSANDAR NIKOLIC HALL,8000,False
YUBILEYNY SPORTS PALACE,7044,False
RATIOPHARM ARENA	,0,False
POLIESPORTIU D'ANDORRA,5000,False
PALARUFFINI,4500,False
PALACIO DE DEPORTES JOSE MARIA MARTIN CARPENA,11300,False
ANKARA SPOR SALONU,10400,False
SPORTSKA DVORANA TOPOLICA,2625,False
STADE LOUIS II,16360,False
BLM GROUP ARENA,3569,False
GDYNIA ARENA,0,True
SINAN ERDEM DOME.,16000,False
PALALEONESSA,5200,False
BASKETBALL CITY MAINHATTAN,0,True
DIMITRIS TOFALOS ARENA,4200,False
STARK ARENA,19394,False
PALAU OLIMPIC DE BADALONA,12760,False
MACCABI SPORTS HALL,5000,False
PALAU BLAUGRANA,7585,False
PALALEONESSA A2A,5200,False
MARCEL CERDAN,4000,False
VIRTUS SEGAFREDO ARENA,9980,False
TOPOLICA SPORTS HALL,2625,False
MAURICE THOREZ,3000,False
HALA SPORTOVA RANKO ZERAVICA,5000,False
EKINOX,3548,False
AKATLAR ARENA,3200,False
CENTENNIAL HALL,0,False
LA FONTETA,9000,False
EDEL-OPTICS.DE ARENA,3400,False
Shlomo Group Arena,3504,False
The Copperbox Arena,6000,False
Halle Georges Carpinter,0,False
BT-Arena,10000,False
SHLOMO GROUP ARENA,3504,False
Arena Stozice Practice facility,12480,False
OVO Arena Wembley ,12500,False
ZALGIRIO ARENA,0,True
