VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
"""TRIUMPH"" SPORTS PALACE",BC TRIUMPH LYUBERTSY,55.675268,37.891517,"Lyubertsy, Lyuberetsky District, Moskovskaya oblast', Russia",False
"""TRIUMPH"" SPORTS PALACE",SPARTAK SAINT PETERSBURG,55.675268,37.891517,"Lyubertsy, Lyuberetsky District, Moskovskaya oblast', Russia",False
"""TRIUMPH"" SPORTS PALACE",TRIUMPH LYUBERTSY MR,55.675268,37.891517,"Lyubertsy, Lyuberetsky District, Moskovskaya oblast', Russia",False
ABDI IPEKCI ARENA,GALATASARAY ODEABANK ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKCI ARENA,KHIMIK YUZHNE,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,GALATASARAY CAFE CROWN,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,GALATASARAY MEDICAL PARK,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
AHMET CÖMERT SPORTS HALL,GALATASARAY CAFE CROWN,40.9894954,28.85275469999999,"Zuhuratbaba, Bakırköy, İstanbul, Türkiye",False
AKATLAR ARENA,BAHCESEHIR KOLEJI ISTANBUL,41.0856143,29.0256257,"Akatlar, Beşiktaş, İstanbul, Türkiye",False
ALEKSANDAR NIKOLIC HALL,CRVENA ZVEZDA MTS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False
ALEKSANDAR NIKOLIC HALL,PARTIZAN NIS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False
ANDREAS PAPANDREOU STADIUM,PANELLINIOS,,,,True
ANDREAS PAPANDREU,PANELLINIOS,,,,True
ANKARA ARENA,AYKON TED ANKARA KOLEJLILER,,,,True
ANKARA SPOR SALONU,TURK TELEKOM ANKARA,39.9379959,32.8437919,"Batı Sitesi Mahallesi, Altındağ, Ankara, Türkiye",False
ANKARA SPORT HALL,AYKON TED ANKARA KOLEJLILER,39.9399847,32.848817,"Anafartalar, Altındağ, Ankara, Türkiye",False
ANTARES,LE MANS SARTHE BASKET,,,,True
ANTWERPEN SPORTPALEIS,ANTWERP GIANTS,51.23112200000001,4.4410291,"Merksem, Antwerpen, Antwerpen, Vlaams Gewest, Belgium",False
ARENA ARMEEC,LUKOIL ACADEMIC SOFIA,,,,True
