,VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY_x,CAPACITY,MANUAL_ENTRY_y
0,"""TRIUMPH"" SPORTS PALACE",BC TRIUMPH LYUBERTSY,55.675268,37.891517,"Lyubertsy, Lyuberetsky District, Moskovskaya oblast', Russia",False,4000,True
1,"""TRIUMPH"" SPORTS PALACE",SPARTAK SAINT PETERSBURG,55.675268,37.891517,"Lyubertsy, Lyuberetsky District, Moskovskaya oblast', Russia",False,4000,True
2,"""TRIUMPH"" SPORTS PALACE",TRIUMPH LYUBERTSY MR,55.675268,37.891517,"Lyubertsy, Lyuberetsky District, Moskovskaya oblast', Russia",False,4000,True
3,ABDI IPEKCI ARENA,GALATASARAY ODEABANK ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
4,ABDI IPEKCI ARENA,KHIMIK YUZHNE,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
5,ABDI IPEKÇI SPORTS HALL,GALATASARAY CAFE CROWN,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
6,ABDI IPEKÇI SPORTS HALL,GALATASARAY MEDICAL PARK,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
7,AHMET CÖMERT SPORTS HALL,GALATASARAY CAFE CROWN,40.9894954,28.85275469999999,"Zuhuratbaba, Bakırköy, İstanbul, Türkiye",False,3500,False
8,AKATLAR ARENA,BAHCESEHIR KOLEJI ISTANBUL,41.0856143,29.0256257,"Akatlar, Beşiktaş, İstanbul, Türkiye",False,3200,False
9,ALEKSANDAR NIKOLIC HALL,CRVENA ZVEZDA MTS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False,8000,False
10,ALEKSANDAR NIKOLIC HALL,PARTIZAN NIS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False,8000,False
11,ANDREAS PAPANDREOU STADIUM,PANELLINIOS,37.998404028703355 ,23.73469936432684,"Damaskineas 2, Peristeri 121 37, Grčija",True,4000,False
12,ANDREAS PAPANDREU,PANELLINIOS,37.998404028703355,23.73469936432684,"Damaskineas 2, Peristeri 121 37, Grčija",True,4000,False
13,ANKARA ARENA,AYKON TED ANKARA KOLEJLILER,39.93812747910149,32.84375971754475,"Batı Sitesi Mahallesi, Ankara Hipodromu Kavşağı No:2, 06370 Altındağ/Ankara, Turčija",True,10400,False
14,ANKARA SPOR SALONU,TURK TELEKOM ANKARA,39.9379959,32.8437919,"Batı Sitesi Mahallesi, Altındağ, Ankara, Türkiye",False,10400,False
15,ANKARA SPORT HALL,AYKON TED ANKARA KOLEJLILER,39.9399847,32.848817,"Anafartalar, Altındağ, Ankara, Türkiye",False,10400,False
16,ANTARES,LE MANS SARTHE BASKET,47.95621309131203,0.2264812610574331,"2 Av. Antarès, 72100 Le Mans, Francija",True,6023,False
17,ANTWERPEN SPORTPALEIS,ANTWERP GIANTS,51.23112200000001,4.4410291,"Merksem, Antwerpen, Antwerpen, Vlaams Gewest, Belgium",False,18575,False
18,ARENA ARMEEC,LUKOIL ACADEMIC SOFIA,42.6714647,23.3693952,"БАН IV км., Sofia, Sofia City Province, Bulgaria",True,15373,True
19,ARENA ARMEEC SOFIA,CSU ASESOFT PLOIESTI,42.6714647,23.3693952,"БАН IV км., Sofia, Sofia City Province, Bulgaria",False,15373,True
20,ARENA ARMEEC SOFIA,PBC LUKOIL ACADEMIC,42.6714647,23.3693952,"БАН IV км., Sofia, Sofia City Province, Bulgaria",False,15373,True
21,ARENA DOLCE VITA,OVARENSE,40.87844864525676,-8.633304792318668,"Av. Dom Manuel I 2030, 3880-109 Ovar, Portugalska",True,2850,True
22,ARENA RIGA,ASK RIGA,56.9676941,24.1056221,"Riga, Latvia",False,11200,False
23,ARENA RIGA,BARONS RIGA,56.9676941,24.1056221,"Riga, Latvia",False,11200,False
24,ARENA RIGA,PROMETEY SLOBOZHANSKE,56.9676941,24.1056221,"Riga, Latvia",False,11200,False
25,ARENA RIGA,VEF RIGA,56.9676941,24.1056221,"Riga, Latvia",False,11200,False
26,ARENA SAMOKOV,LUKOIL ACADEMIC SOFIA,42.3369976,23.5527975,"Samokov, Sofia Province, Bulgaria",False,2000,True
27,ARENA STOZICE,BUDUCNOST VOLI PODGORICA,46.0813903,14.5214679,"Ljubljana, Slovenia",False,12480,False
28,ARENA STOZICE,CEDEVITA OLIMPIJA LJUBLJANA,46.0813903,14.5214679,"Ljubljana, Slovenia",False,12480,False
29,ARENA STOZICE,PARTIZAN NIS BELGRADE,46.0813903,14.5214679,"Ljubljana, Slovenia",False,12480,False
30,ARENA STOZICE,UNION OLIMPIJA LJUBLJANA,46.0813903,14.5214679,"Ljubljana, Slovenia",False,12480,False
31,ARTLAND ARENA,ARTLAND DRAGONS,52.67767095726766 ,7.964845164258541,"Jahnstraße 21, 49610 Quakenbrück, Nemčija",True,3000,True
32,ARTLAND ARENA,ARTLAND DRAGONS QUAKENBRUECK,52.67767095726766 ,7.964845164258541,"Jahnstraße 21, 49610 Quakenbrück, Nemčija",True,3000,True
33,ASTROBALLE,ASVEL BASKET,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
34,ASTROBALLE,ASVEL LYON,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
35,ASTROBALLE,ASVEL LYON VILLEURBANNE,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
36,ASTROBALLE,ASVEL VILLEURBANNE,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
37,ASTROBALLE,ASVEL VILLEURBANNE LYON,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
38,ASTROBALLE,LDLC ASVEL VILLEURBANNE,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
39,ATATURK SPO SALONU,TURK TELEKOM,39.9399847,32.848817,"Anafartalar, Altındağ, Ankara, Türkiye",False,4500,True
40,ATATURK SPOR SALONU,TURK TELEKOM,39.9399847,32.848817,"Anafartalar, Altındağ, Ankara, Türkiye",False,4500,True
41,AUDI DOME,FC BAYERN MUNICH,48.1261064,11.5253135,"Sendling-Westpark, München, Kreisfreie Stadt München, Oberbayern, Bayern, Germany",False,6700,True
42,AUDI-DOME,FC BAYERN MUNICH,48.1261064,11.5253135,"Sendling-Westpark, München, Kreisfreie Stadt München, Oberbayern, Bayern, Germany",False,6700,True
43,AYHAN SAHENK SPORTS HALL,GALATASARAY,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False,3500,False
44,AYHAN SAHENK SPORTS HALL,GALATASARAY CAFE CROWN,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False,3500,False
45,AZOVMASH ARENA,AZOVMASH MARIUPOL,47.143339890564846,37.56049394360792,"Arena Azovmash, Mariupol, Donetsk Oblast, Ukrajina, 87500",True,3000,True
46,AZOVMASH ARENA,BC AZOVMASH,47.143339890564846,37.56049394360792,"Arena Azovmash, Mariupol, Donetsk Oblast, Ukrajina, 87500",True,3000,True
47,Arena Stozice Practice facility,CEDEVITA OLIMPIJA LJUBLJANA,46.0813903,14.5214679,"Ljubljana, Slovenia",False,12480,False
48,Azovmash Arena,AZOVMASH MARIUPOL,47.1433245,37.560665,"Kalmiuskyi district, Mariupol', Mariupol's'ka city council, Donets'ka oblast, Ukraine",False,3000,True
49,BALLSPORTHALLE,DEUTSCHE BANK SKYLINERS,50.1012765,8.5272349,"Frankfurt am Main West, Frankfurt am Main, Kreisfreie Stadt Frankfurt am Main, Darmstadt, Hessen, Germany",False,5002,False
50,BANVIT KARA ALI ACAR SPOR SALONU,BANVIT BANDIRMA,40.33894,27.987088,"600 Evler, Bandırma, Balıkesir, Türkiye",False,3000,False
51,BANVIT KARA ALI ACAR SPOR SALONU,BANVIT BK,40.33894,27.987088,"600 Evler, Bandırma, Balıkesir, Türkiye",False,3000,False
52,BANVIT KARA ALI ACAR SPOR SALONU,BANVIT BK BANDIRMA,40.33894,27.987088,"600 Evler, Bandırma, Balıkesir, Türkiye",False,3000,False
53,BANVIT KARA ALI ACAR SPORT HALL,BANVIT BANDIRMA,40.33894,27.987088,"600 Evler, Bandırma, Balıkesir, Türkiye",False,3000,False
54,BASKET HALL,LOKOMOTIV KUBAN KRASNODAR,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
55,BASKET HALL KAZAN,UNICS KAZAN,55.78235979999999,49.1267418,"Kazan, Vakhitovskiy, Gorod Kazan', Respublika Tatarstan, Russia",False,7482,False
56,BASKET HALL KAZAN,ZENIT ST PETERSBURG,55.78235979999999,49.1267418,"Kazan, Vakhitovskiy, Gorod Kazan', Respublika Tatarstan, Russia",False,7482,False
57,BASKET-HALL,PBC LOKOMOTIV KUBAN,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
58,BASKET-HALL,PBC LOKOMOTIV KUBAN KRASNODAR,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
59,BASKET-HALL,UNICS,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
60,BASKET-HALL,UNICS KAZAN,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
61,BASKET-HALL KAZAN,UNICS KAZAN,55.78235979999999,49.1267418,"Kazan, Vakhitovskiy, Gorod Kazan', Respublika Tatarstan, Russia",False,7482,False
62,BASKETBALL CENTER  DRAZEN PETROVIC,CEDEVITA ZAGREB,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False,5400,False
63,BASKETBALL CENTER  DRAZEN PETROVIC,CIBONA ZAGREB,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False,5400,False
64,BASKETBALL CENTER  DRAZEN PETROVIC,KK CIBONA,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False,5400,False
65,BASKETBALL CENTER  DRAZEN PETROVIC,KK CIBONA ZAGREB,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False,5400,False
