VENUE,CAPACITY,MANUAL_ENTRY
FERNANDO BUESA ARENA,15716,False
PEACE AND FRIENDSHIP STADIUM,11640,False
MAISON DES SPORTS,4500,True
JAKO ARENA BAMBERG,6150,False
PALAU BLAUGRANA,7585,False
ANTARES,6023,False
PALACIO DE LOS DEPORTES J.M. MARTIN CARPENA,11300,False
BASKETBALL CENTER  DRAZEN PETROVIC,5400,False
PALASPORTS MENS SANA,6000,True
FORUMNET,12700,False
PALALIDO,5420,False
ABDI IPEKÇI SPORTS HALL,12270,False
PALACIO VISTALEGRE,14000,False
SIEMENS ARENA,10000,False
PALAMALAGUTI,11000,False
PIONIR,8000,False
PALAIS DES SPORTS,12000,False
NOKIA ARENA,13455,False
TIVOLI  ARENA,7000,False
100 YEARS OF SOPOT HALL,2000,True
PALALOTTOMATICA,11200,False
ARENA NÜRNBERGER VERSICHERUNGEN,8200,False
O.A.K.A.,19443,False
PAB. DEP. COMUNIDAD DE MADRID,12000,True
UNIVERSAL SPORTS HALL CSKA,5000,True
S.DARIUS AND S.GIRENAS SPORT CENTER,12000,False
OLIVIA SPORT HALL,5500,True
HALA SPORTOWA SOPOTU,15000,False
PALACIO DE DEPORTES COMUNIDAD DE MADRID,17453,False
PALAZZO DELLO SPORT,11200,False
PALACE OF SPORTS KHODYNKA,12824,False
Maison des Sports de Clermont-Fd,4500,True
"NATIONAL ATHLETIC CENTER ""MAKIS LIOUGAS""",3500,True
ARENA BEOGRAD,19394,False
PALAU OLÍMPIC DE BADALONA,12760,False
O2 WORLD,20000,False
MAX SCHMELING HALLE,12000,True
PALA DEL MAURO,5300,True
OLYMPIC COMPLEX-HELLINIKON,15000,False
PALAIS DES SPORTS JEAN WEILLE,6000,True
GDYNIA SPORTS ARENA,5500,True
MEDIOLANUMFORUM,12700,False
DATCHFORUM,12700,False
WESER-EMS-HALLE,6069,True
ASTROBALLE,5556,False
BASKETBALL CENTER OF MOSCOW REGION,5000,True
PALAIS OMNISPORTS DE PARIS-BERCY,15609,False
Zenith,7000,False
AYHAN SAHENK SPORTS HALL,3500,False
ZENITH,7000,False
SINAN ERDEM ARENA,16000,False
STECHERT ARENA,6150,False
LA MEILLERAIE,5200,True
PABELLON FUENTE DE SAN LUIS,9000,False
PALAESTRA,8725,False
STOZICE ARENA,12480,False
PALAU SANT JORDI,17960,False
MADRID CAJA MAGICA,12442,False
SPIROU DOME,6300,False
RTL SPIROUDOME,6300,False
BIELLA FORUM,5707,False
ARENA ZAGREB,16500,True
IRADIER ARENA,8512,False
ZALGIRIO ARENA,15415,True
