VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
100 YEARS OF SOPOT HALL,ASSECO PROKOM SOPOT,54.441581,18.5600956,"Sopot, Sopot, Pomeranian Voivodeship, Poland",False
100 YEARS OF SOPOT HALL,PROKOM TREFL SOPOT,54.441581,18.5600956,"Sopot, Sopot, Pomeranian Voivodeship, Poland",False
ABDI IPEKCI ARENA,ANADOLU EFES ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKCI ARENA,DARUSSAFAKA DOGUS ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKCI ARENA,GALATASARAY LIV HOSPITAL ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKCI ARENA,GALATASARAY ODEABANK ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKCI SPORTS HALL,GALATASARAY LIV HOSPITAL ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,ANADOLU EFES ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,BESIKTAS JK ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,EFES PILSEN ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,FENERBAHCE ULKER,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,FENERBAHCE ULKER ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,GALATASARAY LIV HOSPITAL ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ABDI IPEKÇI SPORTS HALL,GALATASARAY MEDICAL PARK,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False
ALEKSANDAR NIKOLIC,CRVENA ZVEZDA MTS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",True
ALEKSANDAR NIKOLIC HALL,CRVENA ZVEZDA MTS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False
ANTARES,LE MANS SARTHE BASKET,47.95637120397258,0.22638469545923365,"Le Mans,France",True
ARENA BEOGRAD,PARTIZAN,44.8125449,20.46123,"Belgrade, City of Belgrade, Serbia",False
ARENA BEOGRAD,PARTIZAN MT:S,44.8125449,20.46123,"Belgrade, City of Belgrade, Serbia",False
ARENA MYTISHCHI,KHIMKI MOSCOW REGION,55.9248562,37.7552338,"Mytishchi, Mytishchinsky District, Moscow Oblast, Russia",False
ARENA MYTISHCHI,Khimki Moscow Region,55.9248562,37.7552338,"Mytishchi, Mytishchinsky District, Moscow Oblast, Russia",False
ARENA NURNBERGER VERSICHERUNG,BROSE BAMBERG,49.4273529,11.123558,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",True
ARENA NURNBERGER VERSICHERUNG,BROSE BASKETS BAMBERG,49.4273529,11.123558,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",True
ARENA NÜRNBERGER VERSICHERUNGEN,BROSE BASKETS,49.4273529,11.123558,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",False
ARENA ZAGREB,KK ZAGREB CROATIA OSIGURANJE,45.8150108,15.981919,"Zagreb, Croatia",False
ASTROBALLE,ASVEL LYON,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False
ASTROBALLE,LDLC ASVEL VILLEURBANNE,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False
AUDI DOME,FC BAYERN MUNICH,48.1261064,11.5253135,"Sendling-Westpark, München, Kreisfreie Stadt München, Oberbayern, Bayern, Germany",False
AYHAN SAHENK SPORTS HALL,DARUSSAFAKA DOGUS ISTANBUL,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False
AYHAN SAHENK SPORTS HALL,EFES PILSEN ISTANBUL,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False
AYHAN SAHENK SPORTS HALL,FENERBAHCE ULKER,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False
BARCLAYCARD CENTER,CSKA MOSCOW,40.42387859999999,-3.6717512,"Madrid, Madrid, Comunidad de Madrid, Spain",False
BARCLAYCARD CENTER,FENERBAHCE ULKER ISTANBUL,40.42387859999999,-3.6717512,"Madrid, Madrid, Comunidad de Madrid, Spain",False
BARCLAYCARD CENTER,REAL MADRID,40.42387859999999,-3.6717512,"Madrid, Madrid, Comunidad de Madrid, Spain",False
BASKET HALL,LOKOMOTIV KUBAN KRASNODAR,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False
BASKET HALL KAZAN,UNICS KAZAN,55.78235979999999,49.1267418,"Kazan, Vakhitovskiy, Gorod Kazan', Respublika Tatarstan, Russia",False
BASKET HALL KAZAN,ZENIT ST PETERSBURG,55.78235979999999,49.1267418,"Kazan, Vakhitovskiy, Gorod Kazan', Respublika Tatarstan, Russia",False
BASKET-HALL,UNICS,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False
BASKET-HALL,UNICS KAZAN,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False
BASKETBALL CENTER  DRAZEN PETROVIC,CIBONA,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False
BASKETBALL CENTER  DRAZEN PETROVIC,KK CIBONA,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False
BASKETBALL CENTER OF MOSCOW REGION,BC KHIMKI,55.88577429999999,37.456785,"Khimki, Novyye Khimki, Khimki, Moskovskaya oblast', Russia",False
BASKETBALL CENTER OF MOSCOW REGION,BC KHIMKI MOSCOW REGION,55.88577429999999,37.456785,"Khimki, Novyye Khimki, Khimki, Moskovskaya oblast', Russia",False
BASKETBALL CENTER OF MOSCOW REGION,KHIMKI MOSCOW REGION,55.88577429999999,37.456785,"Khimki, Novyye Khimki, Khimki, Moskovskaya oblast', Russia",False
BEAUBLANC,LIMOGES CSP,45.84762749999999,1.243385,"Limoges, Haute-Vienne, Nouvelle-Aquitaine, France",False
BIELLA FORUM,ARMANI JEANS MILANO,45.5467871,8.0793108,"Biella, Biella, Provincia di Biella, Piemonte, Italy",False
BILBAO ARENA,BILBAO BASKET,43.25222464648885,-2.9261107255671295,"Bilbao,Bizkaia,Spain",True
BILBAO ARENA,BIZKAIA BILBAO BASKET,43.25222464648885,-2.9261107255671295,"Bilbao,Bizkaia,Spain",True
BILBAO ARENA,GESCRAP BB,43.25222464648885,-2.9261107255671295,"Bilbao,Bizkaia,Spain",True
BROSE ARENA,BROSE BAMBERG,49.879114584446334,10.920387214855984,"Bamberg,Bayer,Germany",True
BROSE ARENA,BROSE BASKETS BAMBERG,49.879114584446334,10.920387214855984,"Bamberg,Bayer,Germany",True
BUESA ARENA,BASKONIA VITORIA-GASTEIZ,42.864253300685824,-2.6416688519208766,"Vitoria-Gasteiz,Alava,Spain",True
BUESA ARENA,BITCI BASKONIA VITORIA-GASTEIZ,42.864253300685824,-2.6416688519208766,"Vitoria-Gasteiz,Alava,Spain",True
