,VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY_x,CAPACITY,MANUAL_ENTRY_y
0,100 YEARS OF SOPOT HALL,ASSECO PROKOM SOPOT,54.441581,18.5600956,"Sopot, Sopot, Pomeranian Voivodeship, Poland",False,2000,True
1,100 YEARS OF SOPOT HALL,PROKOM TREFL SOPOT,54.441581,18.5600956,"Sopot, Sopot, Pomeranian Voivodeship, Poland",False,2000,True
2,ABDI IPEKCI ARENA,ANADOLU EFES ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
3,ABDI IPEKCI ARENA,DARUSSAFAKA DOGUS ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
4,ABDI IPEKCI ARENA,GALATASARAY LIV HOSPITAL ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
5,ABDI IPEKCI ARENA,GALATASARAY ODEABANK ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
6,ABDI IPEKCI SPORTS HALL,GALATASARAY LIV HOSPITAL ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
7,ABDI IPEKÇI SPORTS HALL,ANADOLU EFES ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
8,ABDI IPEKÇI SPORTS HALL,BESIKTAS JK ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
9,ABDI IPEKÇI SPORTS HALL,EFES PILSEN ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
10,ABDI IPEKÇI SPORTS HALL,FENERBAHCE ULKER,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
11,ABDI IPEKÇI SPORTS HALL,FENERBAHCE ULKER ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
12,ABDI IPEKÇI SPORTS HALL,GALATASARAY LIV HOSPITAL ISTANBUL,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
13,ABDI IPEKÇI SPORTS HALL,GALATASARAY MEDICAL PARK,40.9968388,28.9194125,"Kazlıçeşme, Zeytinburnu, İstanbul, Türkiye",False,12270,False
14,ALEKSANDAR NIKOLIC,CRVENA ZVEZDA MTS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",True,8000,False
15,ALEKSANDAR NIKOLIC HALL,CRVENA ZVEZDA MTS BELGRADE,44.815548,20.4847738,"Beograd, Grad Beograd, Serbia",False,8000,False
16,ANTARES,LE MANS SARTHE BASKET,47.95637120397258,0.2263846954592336,"Le Mans,France",True,6023,False
17,ARENA BEOGRAD,PARTIZAN,44.8125449,20.46123,"Belgrade, City of Belgrade, Serbia",False,19394,False
18,ARENA BEOGRAD,PARTIZAN MT:S,44.8125449,20.46123,"Belgrade, City of Belgrade, Serbia",False,19394,False
19,ARENA MYTISHCHI,KHIMKI MOSCOW REGION,55.9248562,37.7552338,"Mytishchi, Mytishchinsky District, Moscow Oblast, Russia",False,7280,False
20,ARENA MYTISHCHI,Khimki Moscow Region,55.9248562,37.7552338,"Mytishchi, Mytishchinsky District, Moscow Oblast, Russia",False,7280,False
21,ARENA NURNBERGER VERSICHERUNG,BROSE BAMBERG,49.4273529,11.123558,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",True,8200,False
22,ARENA NURNBERGER VERSICHERUNG,BROSE BASKETS BAMBERG,49.4273529,11.123558,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",True,8200,False
23,ARENA NÜRNBERGER VERSICHERUNGEN,BROSE BASKETS,49.4273529,11.123558,"Südöstliche Außenstadt, Nürnberg, Nürnberg, Mittelfranken, Bayern, Germany",False,8200,False
24,ARENA ZAGREB,KK ZAGREB CROATIA OSIGURANJE,45.8150108,15.981919,"Zagreb, Croatia",False,16500,True
25,ASTROBALLE,ASVEL LYON,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
26,ASTROBALLE,LDLC ASVEL VILLEURBANNE,45.76635810000001,4.9073674,"Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France",False,5556,False
27,AUDI DOME,FC BAYERN MUNICH,48.1261064,11.5253135,"Sendling-Westpark, München, Kreisfreie Stadt München, Oberbayern, Bayern, Germany",False,6700,True
28,AYHAN SAHENK SPORTS HALL,DARUSSAFAKA DOGUS ISTANBUL,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False,3500,False
29,AYHAN SAHENK SPORTS HALL,EFES PILSEN ISTANBUL,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False,3500,False
30,AYHAN SAHENK SPORTS HALL,FENERBAHCE ULKER,41.125642,29.0283797,"Darüşşafaka, Sarıyer, İstanbul, Türkiye",False,3500,False
31,BARCLAYCARD CENTER,CSKA MOSCOW,40.42387859999999,-3.6717512,"Madrid, Madrid, Comunidad de Madrid, Spain",False,17732,False
32,BARCLAYCARD CENTER,FENERBAHCE ULKER ISTANBUL,40.42387859999999,-3.6717512,"Madrid, Madrid, Comunidad de Madrid, Spain",False,17732,False
33,BARCLAYCARD CENTER,REAL MADRID,40.42387859999999,-3.6717512,"Madrid, Madrid, Comunidad de Madrid, Spain",False,17732,False
34,BASKET HALL,LOKOMOTIV KUBAN KRASNODAR,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
35,BASKET HALL KAZAN,UNICS KAZAN,55.78235979999999,49.1267418,"Kazan, Vakhitovskiy, Gorod Kazan', Respublika Tatarstan, Russia",False,7482,False
36,BASKET HALL KAZAN,ZENIT ST PETERSBURG,55.78235979999999,49.1267418,"Kazan, Vakhitovskiy, Gorod Kazan', Respublika Tatarstan, Russia",False,7482,False
37,BASKET-HALL,UNICS,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
38,BASKET-HALL,UNICS KAZAN,45.1173207,38.9811273,"Krasnodar, Gorod Krasnodar, Krasnodarskiy kray, Russia",False,7500,False
39,BASKETBALL CENTER  DRAZEN PETROVIC,CIBONA,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False,5400,False
40,BASKETBALL CENTER  DRAZEN PETROVIC,KK CIBONA,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False,5400,False
41,BASKETBALL CENTER OF MOSCOW REGION,BC KHIMKI,55.88577429999999,37.456785,"Khimki, Novyye Khimki, Khimki, Moskovskaya oblast', Russia",False,5000,True
42,BASKETBALL CENTER OF MOSCOW REGION,BC KHIMKI MOSCOW REGION,55.88577429999999,37.456785,"Khimki, Novyye Khimki, Khimki, Moskovskaya oblast', Russia",False,5000,True
43,BASKETBALL CENTER OF MOSCOW REGION,KHIMKI MOSCOW REGION,55.88577429999999,37.456785,"Khimki, Novyye Khimki, Khimki, Moskovskaya oblast', Russia",False,5000,True
44,BEAUBLANC,LIMOGES CSP,45.84762749999999,1.243385,"Limoges, Haute-Vienne, Nouvelle-Aquitaine, France",False,6500,False
45,BIELLA FORUM,ARMANI JEANS MILANO,45.5467871,8.0793108,"Biella, Biella, Provincia di Biella, Piemonte, Italy",False,5707,False
46,BILBAO ARENA,BILBAO BASKET,43.25222464648885,-2.926110725567129,"Bilbao,Bizkaia,Spain",True,10014,False
47,BILBAO ARENA,BIZKAIA BILBAO BASKET,43.25222464648885,-2.926110725567129,"Bilbao,Bizkaia,Spain",True,10014,False
48,BILBAO ARENA,GESCRAP BB,43.25222464648885,-2.926110725567129,"Bilbao,Bizkaia,Spain",True,10014,False
49,BROSE ARENA,BROSE BAMBERG,49.879114584446334,10.920387214855984,"Bamberg,Bayer,Germany",True,6150,False
50,BROSE ARENA,BROSE BASKETS BAMBERG,49.879114584446334,10.920387214855984,"Bamberg,Bayer,Germany",True,6150,False
51,BUESA ARENA,BASKONIA VITORIA-GASTEIZ,42.864253300685824,-2.6416688519208766,"Vitoria-Gasteiz,Alava,Spain",True,15716,False
52,BUESA ARENA,BITCI BASKONIA VITORIA-GASTEIZ,42.864253300685824,-2.6416688519208766,"Vitoria-Gasteiz,Alava,Spain",True,15716,False
53,BUESA ARENA,CAZOO BASKONIA VITORIA-GASTEIZ,42.864253300685824,-2.6416688519208766,"Vitoria-Gasteiz,Alava,Spain",True,15716,False
54,BUESA ARENA,KIROLBET BASKONIA VITORIA-GASTEIZ,42.864253300685824,-2.6416688519208766,"Vitoria-Gasteiz,Alava,Spain",True,15716,False
55,BUESA ARENA,TD SYSTEMS BASKONIA VITORIA-GASTEIZ,42.864253300685824,-2.6416688519208766,"Vitoria-Gasteiz,Alava,Spain",True,15716,False
56,CEC NAGORNY,NIZHNY NOVGOROD,56.2921314,43.9791607,"Nizhnij Novgorod, Sovetskiy, Nizhny Novgorod Urban Okrug, Nizhegorodskaya oblast', Russia",False,5500,False
57,CENTER STOZICE,UNION OLIMPIJA LJUBLJANA,46.0805313,14.5242517,"Ljubljana, Slovenia",False,12480,False
58,CENTRUM REKREACYJNO SPORTOWE,STELMET ZIELONA GORA,51.9561565,15.5235548,"Zielona Góra, Zielona Góra, Lubuskie, Poland",False,6000,True
59,CENTRUM REKREACYJNO-SPORTOWE,STELMET ZIELONA GORA,51.9561565,15.5235548,"Zielona Góra, Zielona Góra, Lubuskie, Poland",False,6000,True
60,DATCHFORUM,ARMANI JEANS MILANO,45.4014122,9.1422947,"Assago, Assago, Città Metropolitana di Milano, Lombardia, Italy",False,12700,False
61,DRAZEN PETROVIC,CEDEVITA ZAGREB,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",True,5400,False
62,DRAZEN PETROVIC ZAGREB,CEDEVITA ZAGREB,45.8026091,15.9635008,"Zagreb, Grad Zagreb, Croatia",False,5400,False
63,ERGO ARENA,ASSECO PROKOM GDYNIA,54.4265898909012,18.58056353500856,"Gdansk,Poland",True,15000,False
64,FENERBAHCE ULKER SPORTS ARENA,FENERBAHCE ISTANBUL,40.992856,29.104796,"Barbaros Mah, Ataşehir, İstanbul, Türkiye",False,13800,True
65,FENERBAHCE ULKER SPORTS ARENA,FENERBAHCE ULKER ISTANBUL,40.992856,29.104796,"Barbaros Mah, Ataşehir, İstanbul, Türkiye",False,13800,True
66,FERNANDO BUESA ARENA,ANADOLU EFES ISTANBUL,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
67,FERNANDO BUESA ARENA,BASKONIA VITORIA GASTEIZ,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
68,FERNANDO BUESA ARENA,CAJA LABORAL BASKONIA,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
69,FERNANDO BUESA ARENA,CAJA LABORAL VITORIA,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
70,FERNANDO BUESA ARENA,CSKA MOSCOW,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
71,FERNANDO BUESA ARENA,FENERBAHCE BEKO ISTANBUL,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
72,FERNANDO BUESA ARENA,KIROLBET BASKONIA VITORIA GASTEIZ,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
73,FERNANDO BUESA ARENA,KIROLBET BASKONIA VITORIA-GASTEIZ,42.8640882,-2.6416474,"Gasteiz, Araba, Euskadi, Spain",False,15716,False
