VENUE,CAPACITY,MANUAL_ENTRY
ŠD Šoštanj,600,False
OŠ Koper,0,True
ŠD Kodeljevo,1500,True
Športna dvorana Zreče,12480,False
ŠD Leona Štuklja,2800,False
SŠ Srečka Kosovela,0,False
ŠD Poden,0,False
ŠD Hruševec,0,False
ŠD Polzela,1800,False
ŠD Zagorje ob Savi,800,True
ŠD Domžale,2500,True
"Tri lilije, Laško",2500,False
Osnovna šola Ponikva,0,True
ŠD OŠ Poljane,400,True
Hala Tivoli,4050,False
ŠC Postojna,400,False
ŠD OŠ Milojke Štrukelj,400,True
ŠD Rogaška Slatina,800,False
ŠD Polaj,1500,False
ŠD Šenčur,800,False
Ježica,300,False
Dvorana Tabor,3261,False
Stožice,12480,False
ŠD Janina,0,False
ŠD Brinje,800,False
ŠD Lucija,0,False
OŠ Venclja Perka,0,True
OŠ Antona Žnideršiča,0,False
ŠD Lukna,3261,False
ŠD Podčetrtek,0,False
ŠD Bonifika,4000,False
Gimnazija Celje - Center,0,True
OŠ Srečko Kosovel,900,True
ŠD Planina,0,False
"ŠD Na logu, Hrastnik",0,True
