VENUE,CAPACITY,MANUAL_ENTRY
ŠD Šoštanj,0,False
OŠ Koper,0,True
ŠD Kodeljevo,0,False
Športna dvorana Zreče,12480,False
ŠD Leona Štuklja,0,False
SŠ Srečka Kosovela,0,False
ŠD Poden,0,False
ŠD Hruševec,0,False
ŠD Polzela,0,False
ŠD Zagorje ob Savi,0,False
ŠD Domžale,3100,False
"Tri lilije, Laško",2500,False
Osnovna šola Ponikva,0,True
ŠD OŠ Poljane,0,True
Hala Tivoli,7000,False
ŠC Postojna,0,False
ŠD OŠ Milojke Štrukelj,0,True
ŠD Rogaška Slatina,800,False
ŠD Polaj,0,False
ŠD Šenčur,540,False
Ježica,0,False
Dvorana Tabor,3261,False
Stožice,12480,False
ŠD Janina,0,False
ŠD Brinje,800,False
ŠD Lucija,0,False
OŠ Venclja Perka,0,True
OŠ Antona Žnideršiča,0,False
ŠD Lukna,3261,False
ŠD Podčetrtek,0,False
ŠD Bonifika,3000,False
Gimnazija Celje - Center,0,True
OŠ Srečko Kosovel,0,True
ŠD Planina,0,False
"ŠD Na logu, Hrastnik",0,True
