VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
Dvorana Tabor,Maribor MESSER,46.5494876,15.6356941,"Upravna enota Maribor, Slovenia",False
Dvorana Tabor,Maribor Messer,46.5494876,15.6356941,"Upravna enota Maribor, Slovenia",False
Dvorana Tabor,Maribor Nova KBM,46.5494876,15.6356941,"Upravna enota Maribor, Slovenia",False
Gimnazija Celje - Center,Celje,46.2324583,15.2643557,"Celje, Slovenia",False
Hala Tivoli,Cedevita Olimpija,46.0597998,14.4949445,"Ljubljana, Slovenia",False
Hala Tivoli,Ilirija,46.0597998,14.4949445,"Ljubljana, Slovenia",False
Hala Tivoli,Nutrispoint Ilirija,46.0597998,14.4949445,"Ljubljana, Slovenia",False
Hala Tivoli,Petrol Olimpija,46.0597998,14.4949445,"Ljubljana, Slovenia",False
Hala Tivoli,Union Olimpija,46.0597998,14.4949445,"Ljubljana, Slovenia",False
Ježica,Parklji,46.095708425430914,14.508358131715232,"Ljubljana,Slovenia",True
Ježica,Parklji Ljubljana,46.095708425430914,14.508358131715232,"Ljubljana,Slovenia",True
Ježica,Union Olimpija,46.095708425430914,14.508358131715232,"Ljubljana,Slovenia",True
Osnovna šola Ponikva,Alpos Šentjur,46.2537063,15.4439412,"Ponikva, Šentjur, Slovenia",False
OŠ Antona Žnideršiča,Plama Pur,45.56037848061216, 14.250308549019854,"Ilirska Bistrica, Slovenia",True
OŠ Koper,Luka Koper,45.54805899999999,13.7301877,"Koper, Koper, Slovenia",False
OŠ Koper,Sixt Primorska,45.54805899999999,13.7301877,"Koper, Koper, Slovenia",False
OŠ Srečko Kosovel,Mesarija Prunk Sežana,45.70572420000001,13.8684297,"Sežana, Slovenia",False
OŠ Venclja Perka,Lastovka Domžale,46.1386788,14.5913571,"Domžale, Slovenia",False
Stožice,Cedevita Olimpija,46.081169,14.5209039,"Ljubljana, Slovenia",False
Stožice,Ilirija,46.081169,14.5209039,"Ljubljana, Slovenia",False
Stožice,Petrol Olimpija,46.081169,14.5209039,"Ljubljana, Slovenia",False
Stožice,Union Olimpija,46.081169,14.5209039,"Ljubljana, Slovenia",False
SŠ Srečka Kosovela,Kraški zidar Jadran,45.70539248682233,13.86787571865504,"Sežana, Slovenia",True
SŠ Srečka Kosovela,Mesarija Prunk Sežana,45.70539248682233,13.86787571865504,"Sežana, Slovenia",True
SŠ Srečka Kosovela,Sixt Primorska,45.70539248682233, 13.86787571865504,"Sežana, Slovenia",True
"Tri lilije, Laško",Zlatorog,46.16474300000001,15.2304815,"Laško, Slovenia",False
"Tri lilije, Laško",Zlatorog Laško,46.16474300000001,15.2304815,"Laško, Slovenia",False
ŠC Postojna,Epic Misel,45.7275208,14.1754888,"Postojna, Slovenia",False
ŠD Bonifika,Koper Primorska,45.54447286033787,13.72791631330793,"Koper, Slovenia",True
ŠD Bonifika,Sixt Primorska,45.54447286033787,13.72791631330793,"Koper, Slovenia",True
ŠD Brinje,Grosbasket,45.963005016369834,14.657694120856116,"Grosuplje, Slovenia",True
ŠD Brinje,Grosuplje,45.963005016369834,14.657694120856116,"Grosuplje, Slovenia",True
ŠD Domžale,Helios Domžale,46.1419417,14.5944171,"Domžale, Domžale, Slovenia",False
ŠD Domžale,Helios Suns,46.1419417,14.5944171,"Domžale, Domžale, Slovenia",False
ŠD Domžale,Lastovka,46.1419417,14.5944171,"Domžale, Domžale, Slovenia",False
ŠD Domžale,Vzajemci Lastovka,46.1419417,14.5944171,"Domžale, Domžale, Slovenia",False
ŠD Hruševec,Alpos Šentjur,46.20797782268328,15.390311777612219,"Šentjur, Slovenia",True
ŠD Hruševec,Tajfun,46.20797782268328,15.390311777612219,"Šentjur, Slovenia",True
ŠD Hruševec,Šentjur,46.20797782268328,15.390311777612219,"Šentjur, Slovenia",True
ŠD Janina,Rogaška Crystal,46.23050868435042,15.6379396973009,"Rogaška Slatina, Slovenia",True
ŠD Kodeljevo,Geoplin Slovan,46.05045614047828,14.533250419956822,"Ljubljana, Slovenia",True
ŠD Kodeljevo,Ilirija,46.05045614047828,14.533250419956822,"Ljubljana, Slovenia",True
ŠD Kodeljevo,Nutrispoint Ilirija,46.05045614047828,14.533250419956822,"Ljubljana, Slovenia",True
ŠD Kodeljevo,Slovan,46.05045614047828,14.533250419956822,"Ljubljana, Slovenia",True
